epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1767.09,2.06209,3.19135,1.87295,0.3619,0.15205,0.11199,0.05543,1.9259,2.58646,1.85195,0.000174533,0.000174533,0.000174533
2,3567.56,1.76009,2.25461,1.64096,0.27128,0.23828,0.15449,0.07443,1.81455,2.40985,1.68462,0.000342939,0.000342939,0.000342939
3,5421.05,1.72676,2.12965,1.61628,0.29699,0.23105,0.18023,0.08651,1.81442,2.23148,1.74809,0.000504401,0.000504401,0.000504401
4,7220.13,1.71947,2.06131,1.60548,0.32114,0.25211,0.20379,0.09577,1.7354,2.09752,1.64244,0.000494756,0.000494756,0.000494756
5,8886.43,1.67705,1.99397,1.56175,0.35329,0.25374,0.2159,0.10039,1.75094,1.97263,1.59982,0.000484341,0.000484341,0.000484341
6,10672.7,1.664,1.95732,1.55015,0.26474,0.2694,0.19821,0.09754,1.72735,2.00756,1.60724,0.000473926,0.000473926,0.000473926
7,12589.7,1.6471,1.94049,1.54631,0.25178,0.22847,0.187,0.09178,1.76162,2.14992,1.66885,0.000463511,0.000463511,0.000463511
8,14493.4,1.62152,1.90247,1.52435,0.30082,0.29311,0.23977,0.11411,1.73045,2.02301,1.63726,0.000453096,0.000453096,0.000453096
9,16368.7,1.62986,1.88605,1.51624,0.30554,0.28109,0.22796,0.10909,1.74632,2.15083,1.64671,0.000442682,0.000442682,0.000442682
10,18293.2,1.58741,1.83454,1.48641,0.2886,0.25226,0.20611,0.09529,1.87317,2.23838,1.74343,0.000432267,0.000432267,0.000432267
11,20282.3,1.59106,1.82611,1.49016,0.35084,0.28697,0.26715,0.13019,1.70373,1.88711,1.56875,0.000421852,0.000421852,0.000421852
12,22259.6,1.58538,1.79571,1.48385,0.36358,0.299,0.27435,0.13124,1.67343,1.84312,1.55967,0.000411437,0.000411437,0.000411437
13,24003.1,1.57048,1.776,1.47571,0.34456,0.30227,0.27309,0.13083,1.68015,1.88353,1.58946,0.000401022,0.000401022,0.000401022
14,25986.3,1.55714,1.75212,1.46665,0.3232,0.30242,0.26793,0.13097,1.65977,1.82627,1.57002,0.000390608,0.000390608,0.000390608
15,27995.8,1.56169,1.77152,1.4744,0.3222,0.32871,0.27364,0.13518,1.63917,1.83062,1.54763,0.000380193,0.000380193,0.000380193
16,30021.3,1.55426,1.74401,1.47397,0.33862,0.3216,0.28223,0.14198,1.62077,1.78526,1.54475,0.000369778,0.000369778,0.000369778
17,31984.2,1.53419,1.70132,1.4492,0.3762,0.31438,0.29284,0.14474,1.63405,1.76595,1.53372,0.000359363,0.000359363,0.000359363
18,34047.8,1.5397,1.71422,1.45051,0.36046,0.30487,0.2779,0.13653,1.64675,1.82656,1.56003,0.000348948,0.000348948,0.000348948
19,36087.8,1.52647,1.68525,1.4401,0.36252,0.3345,0.29287,0.14323,1.63825,1.78224,1.54642,0.000338534,0.000338534,0.000338534
20,38079.5,1.53359,1.69433,1.44673,0.36625,0.31484,0.28993,0.14192,1.65974,1.80198,1.55268,0.000328119,0.000328119,0.000328119
21,40105.7,1.51518,1.65116,1.42975,0.38491,0.32533,0.29797,0.14568,1.63185,1.76222,1.53696,0.000317704,0.000317704,0.000317704
22,42060.6,1.50824,1.66266,1.43642,0.36732,0.32096,0.28392,0.13941,1.65622,1.785,1.53615,0.000307289,0.000307289,0.000307289
23,44080.5,1.49962,1.62936,1.4225,0.37722,0.32969,0.30296,0.15038,1.62862,1.74398,1.51932,0.000296874,0.000296874,0.000296874
24,46086.3,1.49582,1.6261,1.41996,0.35551,0.33251,0.29302,0.14574,1.61605,1.74952,1.53427,0.00028646,0.00028646,0.00028646
25,47933.3,1.49864,1.62226,1.41678,0.38429,0.34043,0.30773,0.15393,1.62299,1.71597,1.5078,0.000276045,0.000276045,0.000276045
26,49883.7,1.49188,1.60801,1.41889,0.35515,0.33882,0.30903,0.15373,1.64294,1.72847,1.54787,0.00026563,0.00026563,0.00026563
27,51893.6,1.47487,1.57364,1.39981,0.38104,0.33986,0.30966,0.15155,1.62887,1.7231,1.5338,0.000255215,0.000255215,0.000255215
28,53920.2,1.46733,1.58057,1.40404,0.37886,0.33906,0.32065,0.16039,1.6258,1.73731,1.51573,0.0002448,0.0002448,0.0002448
29,56118.6,1.47315,1.57942,1.40583,0.36766,0.33666,0.30549,0.15657,1.63361,1.73369,1.54824,0.000234386,0.000234386,0.000234386
30,58076.7,1.46242,1.57344,1.39929,0.35654,0.33306,0.29675,0.14377,1.6434,1.76526,1.54224,0.000223971,0.000223971,0.000223971
31,60179.2,1.46096,1.56554,1.39724,0.37011,0.33749,0.30548,0.15324,1.60926,1.67814,1.52223,0.000213556,0.000213556,0.000213556
32,62361.6,1.46354,1.56271,1.39877,0.39615,0.35551,0.32316,0.16077,1.61772,1.6998,1.51997,0.000203141,0.000203141,0.000203141
33,64393.8,1.44819,1.53458,1.38405,0.4029,0.33779,0.31935,0.16101,1.62329,1.70068,1.51635,0.000192726,0.000192726,0.000192726
34,66169.9,1.44503,1.53697,1.39154,0.41179,0.34095,0.32818,0.1649,1.60021,1.66716,1.50711,0.000182312,0.000182312,0.000182312
35,68192.3,1.44527,1.523,1.39152,0.38164,0.35056,0.32079,0.16233,1.62972,1.69081,1.52974,0.000171897,0.000171897,0.000171897
36,70285.2,1.44032,1.51555,1.39036,0.3839,0.33206,0.31826,0.15919,1.63521,1.71347,1.53103,0.000161482,0.000161482,0.000161482
37,72363,1.43285,1.50382,1.3826,0.39556,0.3368,0.31915,0.15973,1.61978,1.70042,1.5266,0.000151067,0.000151067,0.000151067
38,74279.5,1.42261,1.49756,1.38353,0.38965,0.34081,0.32316,0.16334,1.60994,1.67046,1.52825,0.000140652,0.000140652,0.000140652
39,76298.1,1.41768,1.48079,1.37878,0.37907,0.35359,0.32065,0.16113,1.61075,1.65863,1.50973,0.000130238,0.000130238,0.000130238
40,78258.5,1.40728,1.46108,1.35951,0.41922,0.34621,0.33276,0.16569,1.62559,1.67736,1.51748,0.000119823,0.000119823,0.000119823
41,80358.9,1.43145,1.44282,1.40773,0.40961,0.35705,0.33445,0.17057,1.61284,1.66512,1.52088,0.000109408,0.000109408,0.000109408
42,82279.4,1.42163,1.41806,1.40958,0.38172,0.34449,0.32611,0.16464,1.62015,1.67498,1.53138,9.89932e-05,9.89932e-05,9.89932e-05
43,84376.2,1.40664,1.39558,1.39267,0.39342,0.35538,0.33093,0.16774,1.61468,1.66526,1.52123,8.85784e-05,8.85784e-05,8.85784e-05
44,86329,1.40008,1.38503,1.39223,0.39625,0.35565,0.32562,0.16593,1.62345,1.67036,1.53227,7.81636e-05,7.81636e-05,7.81636e-05
45,88060.5,1.39744,1.37165,1.39026,0.4086,0.35758,0.32974,0.16442,1.63479,1.67093,1.53741,6.77488e-05,6.77488e-05,6.77488e-05
46,90004.6,1.39262,1.36594,1.38976,0.39456,0.36289,0.33072,0.16863,1.62539,1.66226,1.54083,5.7334e-05,5.7334e-05,5.7334e-05
47,92058.2,1.37821,1.34265,1.37633,0.4059,0.35041,0.33323,0.16747,1.63266,1.66351,1.54198,4.69192e-05,4.69192e-05,4.69192e-05
48,93923.7,1.3717,1.33577,1.37727,0.40421,0.35877,0.33157,0.16871,1.62855,1.65671,1.53851,3.65044e-05,3.65044e-05,3.65044e-05
49,95620.6,1.37097,1.32149,1.36502,0.39089,0.35675,0.3282,0.16719,1.62894,1.65651,1.53811,2.60896e-05,2.60896e-05,2.60896e-05
50,97526.8,1.3622,1.31909,1.36747,0.41064,0.3595,0.33567,0.16957,1.63014,1.65481,1.54102,1.56748e-05,1.56748e-05,1.56748e-05
